,text,classification
182,Cretina.,True
183,"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educação esse tipo de gente classifico como genocida pois acabam com nações inteiras por um ideal onde eles ficam ricos dominam as pessoas como escravos ... diria que até pior que terroristas pois terroristas matam em nome da “religião” não que algo justifique mas chega ser pior ... corruptos safados ....😡😡😡😡 que Deus nos livre desta cambada que articula em tempo integral a nova destruição ...🙏🇧🇷🇧🇷🇧🇷🇧🇷",True
184,Propineira com pena pq a mamata acabou.... 🤮🤮,True
185,Ela tem pena agora pq não tá recebendo mais propinas. Bandida.,True
186,Cala essa boca sua vaca velha vai para Venezuela,True
187,Porque é bandido da organização criminosa do luladrao. Não aceita nosso presidente Bolsonaro. E melhor aceita que dói menos😂,True
188,"E uma coitada , não tem credibilidade aqui nao",True
189,"Que lixo, heim????",True
190,Mande essa nojenta pra Cuba.,True
191,Parece que para atuar na #ONU precisa ter postura e comportamento #desprezível #hipócrita #falsidade.,True
192,@veronica_michelle_bachelett e a propina recebida pela OAS teve pena quando recebeu? #hipocrita #oportunista #voltapromaroferenda,True
193,Vagabunda ordinária velha dó capeta vai cuidar da sua bunda velha esclerosada,True
194,"Ela não teve pena do Brasil quando Cuba ininteruptamente tentou interferir na nossa democracia. Amiga de comunistas sujos. Amiga de Fidel Castro, um rato ditador e assassino que hoje ocupa um cargo na ONU que não condiz com seu caráter e nem com suas convicções políticas.",True
195,O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.,True
196,Porque ela é uma ladra morfética,True
197,Barchelet vai catar coco . Esquece nosso povo.,True
198,DONA BACHELET A SENHORA DEVIA TER PENA E VERGONHA NA CARA VIM ROUBAR DINHEIRO DO POVO BRASILEIRO QUE FALTA DE VERGONHA SENHORA BACHELET,True
199,Ou quando o Brasil estava sendo saqueado pelo PT? ?,True
200,Safada !! ONU não vale nada!!,True
201,Essa vagabunda devia ter pena é da propina que ela levou que tirou de um hospital inteiro do Brasil,True
202,Esquerdista dos inferno.,True
203,"Sai fora vaga, vagaba",True
204,Falsa!!!,True
205,Uma safada sem caráter.,True
206,Essa aí é uma maior 171,True
207,Que ela enfie a pena dela no $%$@&^ ... devolva nosso dinheiro isso sim. 🤔🤔,True
208,Essa ja fez parte da quadrilha,True
209,Hipócrita esta senhorinha bachelet,True
210,Sem vergonha trate do seu País o nosso temos Bolsonaro@,True
211,Porquê ela é uma velha escrota de MERDA.. só isso,True
212,Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,True
213,"Vagabunda, roubou o Brasil agora tá com pena, vá se fuder",True
214,"Pena porque não vai mais roubar nosso Brasil, sua quenga velha",True
215,Conheco uma vagabunda de longe!!! 💩💩💩,True
216,Pilantra vadia,True
217,Que devolva o dinheiro 💰,True
218,Vagabunda fingida...,True
219,Bachelet está com pena é dela não receber mais dindin dos nossos impostos. Hipócrita corrupta!...😎😎😎😎,True
220,Hipocrisia Pura😡😡,True
221,Veia safada.,True
222,Pois é.... A pena dela é exatamente pq não vai mais receber propina,True
223,Tranqueira!!!,True
224,#maiatraidordapatria,True
225,Rapariga,True
226,Vagabunda,True
227,"Velha sem vergonha, vagabunda !",True
228,"Não precisamos da pena de ninguém ,ainda mais dessa desqualificada ,guarde ela ,as muitas penas que tem pra si mesma 🐔, #Bolsonaro2022 ,sem mais .....",True
229,A fonte secou! Não tem mais propininha!😂😂😂😂,True
230,Ladra,True
231,É comunista! Voces acham que ela não é igual ao ladrões do pt?,True
232,Safada,True
233,Lixooo!!,True
234,Cahorrona,True
235,"Que mulher babaca! Vai cuidar do seu Chile, estúpida!",True
236,"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",True
237,Safadona,True
238,"Será que vai querer devolver o dindin da propina,😂😂",True
239,Esse lixo tem pena e da propina que andava ganhando ilicitamente,True
240,"Percebem que , todo bandido no final de sua gestão , é convidado para trabalhar na ONU ! Porque será ???!",True
241,Bruxa ladra dozinferno 🔥,True
242,É outra HIPÓCRITA 😔😔😔,True
243,É a bandida defendendo os colegas de bandidagem.,True
244,Essa é uma canalha esquerdopata! Nós brasileiros não precisamos de suas condolências! Bandida!,True
245,Essa é pior que o pai.,True
246,Pena da de vc devolva o que nunca foi teu,True
247,Devia ter pena? Ela tem agora pq não tem parceria na corrupção...,True
248,Que mulher nojenta,True
249,Além de desonesta e metida a boa de sela,True
250,Pena porque não tem milhões para sua conta mais não é tranbiqueira.,True
251,Num é ?,True
252,Quem quer saber a opinião dela?,True
253,Dissimulada! Agora ela sabe que a mamata acabou! Governo Bolsonaro colocando todos no devido lugar!Sem corrupção a bandidagem chora!,True
254,"pois é, né? O dinheiro da OAS fez com que ela esquecesse de ter pena do Brasil. Muito cínica.",True
255,"Velhinha safada senil, alguém faça a gentileza de calar esses canalhas, já não suporto mais nem ver a cara desses hipócritas, Bachelet, Macron, Maduro, os petralhas e por aí vai",True
256,Essa vagabunda não tem que falar nada!,True
257,Tem cara de bandida,True
258,💚💛pena do Brasil ou saudade da bagaçeira.,True
259,"😂😂 abstinência de propina faz isso, cria até pena kkkk",True
260,Pq é uma PILANTRA do mesmo NÍVEL BAIXO de LULADRÃO E DIMANTA!,True
261,Hipocrita,True
262,"E outra coisa, quem perguntou a opinião dela? O que nos interessa? VAZA OMELETE PODRE",True
263,"Deixe de hipocrisia, comedora de propina.Você deve tá sentindo falta é do dindo que não está caindo mais na sua conta.",True
264,É uma idiota! Não precisamos da pena dela...,True
265,Ela que legue a pena dela e faça um travesseiro pra ver se consegue dormir depois de ter aceitado dinheiro sujo.,True
266,Viver do comunismo é triste!! Uma hora o dinheiro acaba e você vai ter que trabalhar...!😡👊🏾😎🇧🇷🙏🏻,True
267,Uma mulher dessa idade já deveria ter aprendido a ter vergonha na cara.,True
268,"Essa esquerdopata imbecil não consegue ser ouvida nem no Chile, sua terra!",True
269,Q velha ordinária!! A Esquerdalha tem todos a mesma face!!🤮🤮🤮,True
270,Hipocrisia,True
271,"Por isso que SSA senhora defende o PT, e ela me dá NOJO.",True
272,Porque é suja e adora dinheiro alheio,True
273,É apenas mais uma vagabundos.,True
274,"Coisa feia, vai cuidar da sua casa,",True
275,😂😂 Ela é galinha! Pena?! Q é isso!?,True
276,Clínica. Faz parte da esquerda demoníaca.,True
277,Velha gagá FDP,True
278,Propineira1,True
279,Cara de pau,True
280,Mas é falsa hein?Acabou a mamata.quer dinheiro vá trabalhar.,True
281,Ela é muito espuma. Fica em cima do muro e vai para onde o vento sopra ( biruta),True
282,Porque é LADRA!!,True
283,Canalha!!,True
284,"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",True
285,Receber propina não te envergonha Bachelet? #BolsonaroPresidente2022🇧🇷,True
286,😡Ridícula,True
287,Cara pálida devolve o dinheiro a propina para o Brasil então,True
288,Nojenta! Lava a boca pra falar do nosso Presidente!,True
289,Hipócrita,True
290,Ah tá com pena? Devolve o dinheiro do 🇧🇷,True
291,Vaca,True
292,Eu que tenho pena dessa mulher feia e de um caráter duvidoso.,True
293,Cara de pau 😠,True
294,💩💩💩💩 É isso que essa louca fala!🖕🖕,True
295,Dispensamos sua pena sra Michele Bachelet.Temos misericórdia dos pobres de espírito que manipulam os pobres.,True
296,E quando recebeu dinheiro ilegal de propina e portanto de nossos impostos suados? Hipócrita.,True
297,Pena pq a boquinha secou né sua socialista de merda!!!! 👊🏻👊🏻👊🏻,True
298,"Coitadinha, ninguém liga pra ela",True
299,Hipócrita! Esquerda Nunca Mais!,True
300,"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",True
301,Tenha pena de você mesma imbecil!!🤬,True
302,Ninguém está preocupado com a pena dela. É melhor ela cuidadar do pais dela .,True
303,C Í N I C A,True
304,"Otária, BABACA.",True
305,"Se ela acha tão bacana o socialismo porque não vai morar na Venezuela, Cuba ou Coreia do Norte? Hipocrisia!!!!",True
306,Vagabunda safada👊👊👊,True
307,"Cínica , não tem o que dizer e fica falando abobrinha",True
308,É típico dessa gente a cara de pau!!!🤢,True
309,"Ela teria que ter pena qndo tirou dos hospitais do Brasil,pra continuar defendendo bandidos!!!",True
310,"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",True
311,Pilantra comunista oportunista,True
312,"Bachelet, não tem o que fazer?Sugestão: vau catar coquinho!!!",True
313,Hipócritas,True
314,O que dizer além de vaca véia ??? E no pior sentido da palavra.,True
315,"Vai cuidar do seu quintal, que o nosso a gente cuida,,corrupta😤",True
316,Comunista vagabunda,True
317,Cretina Hipócrita!,True
318,Porque ela também é BANDIDA,True
319,Pq é uma safada,True
320,Pq é criminosa do foro de São Paulo !,True
321,Cara horrorosa dessa senhora,True
322,Só defende Lula por ser igual a ele...corrupta.,True
323,Credo,True
324,Outra esquerdista cara de pau! Não basta os do Brasil! 😡,True
325,Que bom que ela tem pena do Brasil 🇧🇷 assim ela já pode dividir com a população brasileira a propina que recebeu da OAS.,True
326,"Bandida, safada, comunista e corrupta!!! Fora do Brasil!! Lixo!!!",True
327,"Enquanto não se revela os podres desses ladrões da nossa pátria todos tem alguma coisa para falar, quero ver agora.",True
328,Essa puta não tem dó da Venezuela???,True
329,Penalizada tem que estar do povo Venezuelano e envergonhada por receber propina😱,True
330,LIXO. Lixo iDIOTA.,True
331,Hipócrita,True
332,A ONU é pior esquerda que temos no mundo atualmente.,True
333,"🇧🇷 Vergonha mundial, não tem moral pra falar nada do Brasil.",True
334,Velha canalha,True
335,Vagabunda! Sem vergonha!,True
336,Hipócrita 🤬🤬🤬,True
337,Cara de pau!,True
338,"O que essa bandida corrupta ta falando do presidente, velha idiota.",True
339,Carra de pau 😠,True
340,É que o dindin pra ela acabou 😂😂😂,True
341,"Corrupta, formiga e ladrão tem em todo lugar, até na ONU.",True
342,"Essa ridícula aí, tinha que pedir desculpa ao nosso presidente",True
343,Hipócrita,True
344,"Sério???? Engraçado que quem invadiu a Polônia foram os Nazistas. Você estava comemorando isso???? A invasão???? Fascista que fala, né!!!",True
345,"Celebrar a morte de milhões de judeus? Estúpido, nojento",True
346,NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU,True
347,Seu doente! A invasão da Polônia marca o início da segunda guerra mundial onde milhões de pessoas foram mortas e torturadas.,True
348,Puta que pariu,True
349,Só um doente para achar que isso é motivo para comemorar....não cansa de passar vergonha acho que as aulas pelo you tube não estão funcionando.,True
350,Gente burra não sabe o que é ato solene isso não é comemoração é um ato que lembra o fato é homenageia os refugiados da Polônia no Brasil pesquisa antes de fala merda,True
351,Lamento sua pequenez...,True
352,"Até pelos comentários, a gente percebe quem é normal e quem é esquerdopata... Por que será né?",True
353,Tortura hahaha,True
354,"Vai tomar no seu cu milicianos, isso é inveja do PT",True
355,NAZISTINHA ESCROTO DO CARALHO,True
356,"SOS UNA BASURA BOLSONARO, DAS TANTO ASCO!!",True
357,😷vas a terminar con nuestro planeta!!!,True
358,Seu pai é um safado,True
359,Enfermo culiao hijo de la maraca sopla moco te va hace brujería xuxetumsre,True
360,Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo,True
361,"Amazonia is burning. It's a national treasure and it provides oxygen for the entire world. Bolsonaro is incredibly childish and his reactions are so inappropriate. If he cares about Brazil, he would care about Amazonia and people who depends on it.",True
362,Que faz este cara ainda morando fora da prisão？,True
363,Eduardo é moleque !,True
364,Colonialista di merda,True
365,Testa di cazzo muori,True
366,Tu e la tua politica di merda,True
367,Vai a farti tu e ste foto del cazzo e a cui nessuno frega un cazzo,True
368,"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",True
369,"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",True
370,*Carlos Vereza (ator)*,True
371,Selvaaaaaaa 🇧🇷👏,True
372,Selva 🇧🇷,True
373,É isso família Bolsonaro. Aposto que foi farinha do msm saco do macron que ateou fogo na Amazônia pra atacar o governo. Vamos nos preparar pois bendita será a nação que teme ao Senhor. Macron que va se f****,True
374,"aí sim em capita, quem quiser comer meu cusinho só chame 🔥🔥",True
375,"Isso aí sim e postura de criança em ensino 👏🏻👏🏻 Não aquela lacracao de criança usando shortinho dançando funk ameaçando professor em sala de aula , como a esquerda incentivou os últimos 15 anos . #BolsonaroNeles 😎👉🏻👉🏻",True
376,"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE, EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos , PARA SOBRAR PARA O BRASIL, E TEM MULAS QUE AINDA FALAM EM ESQUERDA MEU DEUS AS BURRiCES ESTÃO VENDO A REALIDADE E NÃO ACEITAM , CRIMES INVADINDO OS RESPONSÁVEIS PELO BRASIL, ATÉ ISSO ACORDARAM , NINGUÉM QUE VIROU P ESQUERDA FINGIRAM EM NAIO ENTENDER , BANDIDOS AGINDO JUNTOS COM 0S BANDIDOS DA ESQUERDA E PCC VIU COM QUEM ESSAS MULAS QUETEM QUE FOCAM NO BRASIL????",True
377,"dessa vez ninguém quebrou a mesa, né? vaza daqui playboy filho da puta",True
378,"Muita saúde João gordo,mas não se mistura com esse tipo de gente se não vc se contamina.esses petralhada não prestam",True
379,@miqueiasmonteiro e a do seu presiBozo de ir p o manicômio! Fdp,True
380,"@ronaldosnascimento1_ Mas tu é baixo nível, né cara? Dá dó!",True
381,"@guilhermeribeiro7735 Vai se instruir um pouco! Caia fora, aqui ñ é lugar para pessoas como vc",True
382,@ricardobedendo Vc ainda ñ caiu fora? Va seguir seu jegue!,True
383,@jose1ete nem pra isso ele tem competencia! Ô medão!,True
384,Fala bandidão,True
385,O cara não trabalha meu ....,True
386,João traidor do movimento!,True
387,Realmente handrade kkk lembro do slogan da campanha Lula é Haddad Haddad é Lula hahhahaha os dois condenados.,True
388,"Coitado desse Jão gordo, fracassado.",True
389,Condenado 35 vezesc,True
390,Vou ver não seu verme.,True
391,É RIDICULO UNS BABÕES DO ATUAL PRESIDENTE VIR POR HASTAG DO BURRO QUE HOJE GOVERNA O PAÌS.,True
392,"Aproveite ,logo estará atrás das grades.",True
393,Uai não está cumprindo a pena ainda ?,True
394,Faz um programa com o Lula. Sugestão para o nome: Sol Quadrado.,True
395,Difícil saber quem é mais escroto,True
396,Ai sabe roubar ...prefeitão de SP....kkkk...,True
397,caixa 2,True
398,Aproveita o regime fechado tá na porta.,True
399,Esse aí é o tal do Presidente de vcs. Esse aí é o que foi condenado por caixa 2s. 👎👎👎,True
400,E a Amazônia professor? Não dá pra limpar a agenda pra focar nessa emergência? Faz alguma coisa útil. Nem tudo é voto. Onde vocês estão quando o país precisa de vocês ? @cirogomes dando palestra e entrevista enquanto a Amazônia queima. Pq vcs não vão no encontro do g20 representar o Brasil já que o bozo não serve pra isso? Bate na porta. Fala vim ajudar. Depois usa isso na campanha. Façam alguma coisa útil porra!,True
401,Comenta sobre a condenação e a péssima gestao a frente da prefeitura. A derrota para o novato Joao Doria e depois para o ignorante xucro JB,True
402,Condenado kkkkkkkkk 2 de cana,True
403,@fernandohaddadoficial a esquerda precisa se unir pra mudar o rumo dessa situação no país. .nosso país está sendo destruído por esse demente que se diz presidente. ...dor e desolação com essa destruição da Amazônia. ...por favor precisamos tomar alguma atitude. ...esse monstro precisa ser derrubado,True
404,"(!!atenção!!numeração duplicada) Lamento o silêncio dos candidatos a presidência 2018, vejo que o Ciro é o mais ativo nas críticas contra o atual Desgoverno. Vocês têm voz!",True
405,Kkkkkkk condenado por caixa 2 pqp nao da uma dentro,True
406,"Condenado a 4,5 anos por caixa dois.......kkkkkkkkkk...",True
407,Aoooo caaixa 2 kkkkkkk,True
